期权代码,期权名称,最新价,涨跌幅,行权价,折溢价率,标的名称,标的最新价,标的涨跌幅,盈亏平衡价,到期日
10009889,50ETF购10月2850,0.2323,9.99,2.85,0.34,上证50ETF,3.072,0.59,3.082,2025-10-22
10008834,500ETF购9月5750,1.6782,9.9,5.75,-0.05,中证500ETF,7.432,2.13,7.428,2025-09-24
10008870,科创板50购9月1050,0.4305,9.82,1.05,-0.97,科创板50ETF,1.495,3.68,1.481,2025-09-24
10008868,科创板50购9月950,0.5398,9.72,0.95,-0.35,科创板50ETF,1.495,3.68,1.49,2025-09-24
10010021,科创板50购10月1050,0.43,9.69,1.05,-1.0,科创板50ETF,1.495,3.68,1.48,2025-10-22
10009503,300ETF购12月4400,0.3304,9.66,4.4,1.45,沪深300ETF,4.663,0.89,4.73,2025-12-24
10009926,500ETF购10月6250,1.1262,9.66,6.25,-0.75,中证500ETF,7.432,2.13,7.376,2025-10-22
10009480,300ETF购12月4200,0.4892,9.54,4.2,0.56,沪深300ETF,4.663,0.89,4.689,2025-12-24
10008895,50ETF购9月2900,0.1685,9.42,2.9,-0.11,上证50ETF,3.072,0.59,3.069,2025-09-24
10009260,500ETF购12月6500,0.85,9.4,6.5,-1.1,中证500ETF,7.432,2.13,7.35,2025-12-24
10009711,科创板50购3月1150,0.3189,9.21,1.15,-1.75,科创板50ETF,1.495,3.68,1.469,2026-03-25
10008849,科创50购9月950,0.5726,9.07,0.95,-0.48,科创50ETF,1.53,3.73,1.523,2025-09-24
10008867,科创板50购9月900,0.5902,8.89,0.9,-0.32,科创板50ETF,1.495,3.68,1.49,2025-09-24
10009813,50ETF购12月3500,0.0235,8.8,3.5,14.7,上证50ETF,3.072,0.59,3.524,2025-12-24
10009313,300ETF购12月4303A,0.401,8.76,4.303,0.88,沪深300ETF,4.663,0.89,4.704,2025-12-24
10008850,科创50购9月1000,0.5166,8.76,1.0,-0.88,科创50ETF,1.53,3.73,1.517,2025-09-24
10009961,科创板50购10月1100,0.3718,8.71,1.1,-1.55,科创板50ETF,1.495,3.68,1.472,2025-10-22
10010019,科创50购10月1100,0.4074,8.64,1.1,-1.48,科创50ETF,1.53,3.73,1.507,2025-10-22
10008833,500ETF购9月5500,1.9285,8.53,5.5,-0.05,中证500ETF,7.432,2.13,7.429,2025-09-24
10008866,科创板50购9月850,0.642,8.45,0.85,-0.2,科创板50ETF,1.495,3.68,1.492,2025-09-24
10009799,300ETF购3月4800,0.189,8.25,4.8,6.99,沪深300ETF,4.663,0.89,4.989,2026-03-25
10009907,300ETF购10月4100,0.5635,7.95,4.1,0.01,沪深300ETF,4.663,0.89,4.664,2025-10-22
10008819,300ETF购9月4205A,0.45,7.91,4.205,-0.17,沪深300ETF,4.663,0.89,4.655,2025-09-24
10009789,50ETF购12月3400,0.0329,7.87,3.4,11.75,上证50ETF,3.072,0.59,3.433,2025-12-24
10010029,300ETF购3月5250,0.0791,7.77,5.25,14.28,沪深300ETF,4.663,0.89,5.329,2026-03-25
10009657,300ETF购3月4400,0.3838,7.75,4.4,2.59,沪深300ETF,4.663,0.89,4.784,2026-03-25
10009659,300ETF购3月4600,0.2702,7.69,4.6,4.44,沪深300ETF,4.663,0.89,4.87,2026-03-25
10008865,科创板50购9月800,0.6894,7.38,0.8,-0.37,科创板50ETF,1.495,3.68,1.489,2025-09-24
10009658,300ETF购3月4500,0.3236,7.37,4.5,3.44,沪深300ETF,4.663,0.89,4.824,2026-03-25
10009925,500ETF购10月6000,1.3699,7.27,6.0,-0.84,中证500ETF,7.432,2.13,7.37,2025-10-22
10010015,50ETF购10月2800,0.2789,7.06,2.8,0.22,上证50ETF,3.072,0.59,3.079,2025-10-22
10009639,50ETF购3月3000,0.2154,7.0,3.0,4.67,上证50ETF,3.072,0.59,3.215,2026-03-25
10008885,50ETF购9月2850,0.2181,6.91,2.85,-0.13,上证50ETF,3.072,0.59,3.068,2025-09-24
10009295,科创板50购12月1150,0.312,6.85,1.15,-2.21,科创板50ETF,1.495,3.68,1.462,2025-12-24
10009462,300ETF购9月4200,0.4508,6.82,4.2,-0.26,沪深300ETF,4.663,0.89,4.651,2025-09-24
10009215,科创板50购9月750,0.7392,6.82,0.75,-0.39,科创板50ETF,1.495,3.68,1.489,2025-09-24
10008883,科创50购9月800,0.721,6.81,0.8,-0.59,科创50ETF,1.53,3.73,1.521,2025-09-24
10009277,科创50购12月1150,0.347,6.77,1.15,-2.16,科创50ETF,1.53,3.73,1.497,2025-12-24
10009656,300ETF购3月4300,0.4452,6.63,4.3,1.76,沪深300ETF,4.663,0.89,4.745,2026-03-25
10009479,300ETF购12月4100,0.569,6.61,4.1,0.13,沪深300ETF,4.663,0.89,4.669,2025-12-24
10009641,50ETF购3月3200,0.1253,6.55,3.2,8.25,上证50ETF,3.072,0.59,3.325,2026-03-25
10009241,300ETF购12月4009A,0.6539,6.5,4.009,0.0,沪深300ETF,4.663,0.89,4.663,2025-12-24
10008831,500ETF购9月5000,2.425,6.5,5.0,-0.09,中证500ETF,7.432,2.13,7.425,2025-09-24
10008848,科创50购9月900,0.6123,6.49,0.9,-1.16,科创50ETF,1.53,3.73,1.512,2025-09-24
10009654,300ETF购3月4100,0.5911,6.45,4.1,0.6,沪深300ETF,4.663,0.89,4.691,2026-03-25
10009317,50ETF购12月3000,0.1576,6.41,3.0,2.79,上证50ETF,3.072,0.59,3.158,2025-12-24
10009693,科创50购3月1150,0.3458,6.4,1.15,-2.24,科创50ETF,1.53,3.73,1.496,2026-03-25
10009727,50ETF购12月3300,0.0472,6.31,3.3,8.96,上证50ETF,3.072,0.59,3.347,2025-12-24
10009871,300ETF购3月5000,0.1274,6.26,5.0,9.96,沪深300ETF,4.663,0.89,5.127,2026-03-25
10008847,科创50购9月850,0.664,6.24,0.85,-1.05,科创50ETF,1.53,3.73,1.514,2025-09-24
10010017,500ETF购10月5750,1.622,6.22,5.75,-0.81,中证500ETF,7.432,2.13,7.372,2025-10-22
10009205,科创50购9月750,0.7701,6.22,0.75,-0.65,科创50ETF,1.53,3.73,1.52,2025-09-24
10009895,50ETF购10月3300,0.0086,6.17,3.3,7.7,上证50ETF,3.072,0.59,3.309,2025-10-22
10009763,300ETF购3月4700,0.2252,6.13,4.7,5.62,沪深300ETF,4.663,0.89,4.925,2026-03-25
10009243,300ETF购12月4205A,0.4729,6.13,4.205,0.32,沪深300ETF,4.663,0.89,4.678,2025-12-24
10009224,50ETF购12月2850,0.2652,6.12,2.85,1.41,上证50ETF,3.072,0.59,3.115,2025-12-24
10008829,500ETF购9月4800,2.6275,6.08,4.8,-0.06,中证500ETF,7.432,2.13,7.428,2025-09-24
10009225,50ETF购12月2900,0.2254,6.07,2.9,1.74,上证50ETF,3.072,0.59,3.125,2025-12-24
10009637,50ETF购3月2900,0.2744,6.07,2.9,3.33,上证50ETF,3.072,0.59,3.174,2026-03-25
10008800,50ETF购9月2750,0.3224,6.05,2.75,0.01,上证50ETF,3.072,0.59,3.072,2025-09-24
10009655,300ETF购3月4200,0.513,6.01,4.2,1.07,沪深300ETF,4.663,0.89,4.713,2026-03-25
10009497,50ETF购12月3100,0.106,6.0,3.1,4.36,上证50ETF,3.072,0.59,3.206,2025-12-24
10009478,300ETF购12月4000,0.6597,5.98,4.0,-0.07,沪深300ETF,4.663,0.89,4.66,2025-12-24
10009242,300ETF购12月4107A,0.5588,5.91,4.107,0.06,沪深300ETF,4.663,0.89,4.666,2025-12-24
10009623,50ETF购12月3200,0.0702,5.88,3.2,6.45,上证50ETF,3.072,0.59,3.27,2025-12-24
10009823,300ETF购3月4900,0.1547,5.74,4.9,8.4,沪深300ETF,4.663,0.89,5.055,2026-03-25
10009638,50ETF购3月2950,0.2427,5.66,2.95,3.93,上证50ETF,3.072,0.59,3.193,2026-03-25
10008818,300ETF购9月4107A,0.5441,5.65,4.107,-0.26,沪深300ETF,4.663,0.89,4.651,2025-09-24
10009461,300ETF购9月4100,0.5511,5.57,4.1,-0.26,沪深300ETF,4.663,0.89,4.651,2025-09-24
10008801,50ETF购9月2800,0.268,5.51,2.8,-0.13,上证50ETF,3.072,0.59,3.068,2025-09-24
10008832,500ETF购9月5250,2.1377,5.46,5.25,-0.6,中证500ETF,7.432,2.13,7.388,2025-09-24
10010025,300ETF购10月5250,0.0058,5.45,5.25,12.71,沪深300ETF,4.663,0.89,5.256,2025-10-22
10009640,50ETF购3月3100,0.1635,5.42,3.1,6.23,上证50ETF,3.072,0.59,3.264,2026-03-25
10009311,50ETF购12月2950,0.1893,5.4,2.95,2.19,上证50ETF,3.072,0.59,3.139,2025-12-24
10009193,500ETF购9月4700,2.7155,5.37,4.7,-0.22,中证500ETF,7.432,2.13,7.416,2025-09-24
10009222,50ETF购12月2750,0.3498,5.36,2.75,0.9,上证50ETF,3.072,0.59,3.1,2025-12-24
10008817,300ETF购9月4009A,0.6458,5.35,4.009,-0.18,沪深300ETF,4.663,0.89,4.655,2025-09-24
10009635,50ETF购3月2800,0.3484,5.16,2.8,2.49,上证50ETF,3.072,0.59,3.148,2026-03-25
10008830,500ETF购9月4900,2.4996,5.16,4.9,-0.44,中证500ETF,7.432,2.13,7.4,2025-09-24
10009460,300ETF购9月4000,0.6537,5.1,4.0,-0.2,沪深300ETF,4.663,0.89,4.654,2025-09-24
10009729,50ETF购3月3300,0.0945,5.0,3.3,10.5,上证50ETF,3.072,0.59,3.395,2026-03-25
10008799,50ETF购9月2700,0.371,4.8,2.7,-0.03,上证50ETF,3.072,0.59,3.071,2025-09-24
10009223,50ETF购12月2800,0.3052,4.77,2.8,1.08,上证50ETF,3.072,0.59,3.105,2025-12-24
10009815,50ETF购3月3500,0.0576,4.73,3.5,15.81,上证50ETF,3.072,0.59,3.558,2026-03-25
10009294,科创板50购12月1100,0.358,4.68,1.1,-2.47,科创板50ETF,1.495,3.68,1.458,2025-12-24
10008816,300ETF购9月3912A,0.7426,4.59,3.912,-0.18,沪深300ETF,4.663,0.89,4.655,2025-09-24
10009477,300ETF购12月3900,0.755,4.57,3.9,-0.17,沪深300ETF,4.663,0.89,4.655,2025-12-24
10008798,50ETF购9月2650,0.422,4.46,2.65,0.0,上证50ETF,3.072,0.59,3.072,2025-09-24
10009221,50ETF购12月2700,0.396,4.38,2.7,0.78,上证50ETF,3.072,0.59,3.096,2025-12-24
10009276,科创50购12月1100,0.3906,4.16,1.1,-2.58,科创50ETF,1.53,3.73,1.491,2025-12-24
10009674,500ETF购3月6500,0.8092,4.14,6.5,-1.65,中证500ETF,7.432,2.13,7.309,2026-03-25
10009218,50ETF购12月2550,0.5406,4.06,2.55,0.61,上证50ETF,3.072,0.59,3.091,2025-12-24
10009633,50ETF购3月2700,0.425,4.04,2.7,1.73,上证50ETF,3.072,0.59,3.125,2026-03-25
10009220,50ETF购12月2650,0.4415,4.0,2.65,0.63,上证50ETF,3.072,0.59,3.092,2025-12-24
